철도_id,출발시간,도착시간,출발정류장,도착정류장
49,08:45:00,08:47:00,걸포북변,사우
49,08:47:00,08:50:00,사우,풍무
49,08:50:00,08:54:00,풍무,고촌
49,08:54:00,09:01:00,고촌,김포공항
50,08:33:00,08:36:00,양촌,구래
50,08:36:00,08:39:00,구래,마산
50,08:39:00,08:43:00,마산,장기
50,08:43:00,08:45:00,장기,운양
50,08:45:00,08:50:00,운양,걸포북변
50,08:50:00,08:52:00,걸포북변,사우
50,08:52:00,08:55:00,사우,풍무
50,08:55:00,08:59:00,풍무,고촌
50,08:59:00,09:06:00,고촌,김포공항
51,08:38:00,08:41:00,양촌,구래
51,08:41:00,08:44:00,구래,마산
51,08:44:00,08:48:00,마산,장기
51,08:48:00,08:50:00,장기,운양
51,08:50:00,08:55:00,운양,걸포북변
51,08:55:00,08:57:00,걸포북변,사우
51,08:57:00,09:00:00,사우,풍무
51,09:00:00,09:04:00,풍무,고촌
51,09:04:00,09:11:00,고촌,김포공항
52,08:43:00,08:46:00,양촌,구래
52,08:46:00,08:49:00,구래,마산
